Token,Surprisal,Verb
john,13.40569339451669,scrubbed
just,8.130663332625307,scrubbed
scrubbed,4.142250357878234,scrubbed
the,0.02806709150127421,scrubbed
tub,8.352162283719426,scrubbed
",",0.08615534461981372,scrubbed
but,0.7424271383208352,scrubbed
it,1.224189511970603,scrubbed
didn,0.10766823461869315,scrubbed
',8.599135105882653e-07,scrubbed
t,-0.0,scrubbed
get,0.7467940681314701,scrubbed
any,0.19656501851041183,scrubbed
cleaner,1.6760740251885473,scrubbed
.,0.0030944464534967703,scrubbed
john,12.752809412203845,broke
just,5.778606701509972,broke
broke,9.422547544802967,broke
the,1.8352527779423717,broke
vase,11.430851554857036,broke
",",0.2770089715520379,broke
but,2.5740437271603858,broke
nothing,10.570640894600565,broke
is,3.703680423395705,broke
different,7.6454295116000965,broke
about,0.009267578992238826,broke
it,1.1619331090846217,broke
.,0.002185317984564731,broke
john,11.478128112487328,walked
walked,7.162763411821751,walked
a,0.005052572382017267,walked
long,0.34037248403621473,walked
time,3.0632246835850365,walked
",",0.643650260622556,walked
but,1.6954357462073812,walked
he,0.10294208610948166,walked
is,8.815381583042022,walked
not,4.881823277094996,walked
somewhere,3.8913428285698584,walked
else,0.5807909928499689,walked
.,0.004846433108484929,walked
john,8.677936526721838,arrived
arrived,13.221777556752542,arrived
",",0.4429914287472353,arrived
but,0.3579643973333607,arrived
he,0.11095109847071871,arrived
is,5.903496836692247,arrived
not,7.191651065907142,arrived
somewhere,1.6691532668749949,arrived
else,0.43099170749628196,arrived
.,0.007113167059551111,arrived
john,11.252049731934894,thought
thought,14.757987329238924,thought
",",0.5610197420744443,thought
but,6.012150431803377,thought
nothing,11.184995361559334,thought
is,9.005802653596575,thought
different,3.6894921949529613,thought
about,0.3645191111352191,thought
him,2.110369784907357,thought
.,0.025913947455527272,thought
